unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20161860740,"600 PARK PL Austin, TX 78705",5,2016-07-05 00:00:00 UTC,Not cleared,9,AUTO THEFT                    ,B,600 PARK PL,Auto Theft,2016-07-04 00:00:00 UTC,3116809,10078810,2016,78705
20155041880,"612 PARK PL Austin, TX 78705",5,2015-09-25 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,612 PARK PL,Theft,2015-09-22 00:00:00 UTC,3117136,10078739,2015,78705
20158003726,"612 PARK PL Austin, TX 78705",5,2015-10-27 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,612 PARK PL,Theft,2015-10-23 00:00:00 UTC,3117136,10078739,2015,78705
20168005567,"3000 EAST DR Austin, TX 78705",5,2016-12-21 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,3000 EAST DR,Theft,2016-12-18 00:00:00 UTC,3115052,10080767,2016,78705
20161820668,"100 W 32ND ST Austin, TX 78705",5,2016-08-24 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,100 W 32ND ST,Theft,2016-06-30 00:00:00 UTC,3116205,10081339,2016,78705
20155005166,"101 E 33RD ST Austin, TX 78705",5,2015-02-10 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,101 E 33RD ST,Theft,2015-02-05 00:00:00 UTC,3116395,10081325,2015,78705
20155026165,"101 E 33RD ST Austin, TX 78705",5,2015-06-19 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,101 E 33RD ST,Theft,2015-06-17 00:00:00 UTC,3116395,10081325,2015,78705
20165046990,"101 E 33RD ST Austin, TX 78705",5,2016-11-16 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,101 E 33RD ST,Theft,2016-11-11 00:00:00 UTC,3116394,10081325,2016,78705
20155046623,"102 W 33RD ST Austin, TX 78705",5,2015-10-22 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,102 W 33RD ST,Theft,2015-10-21 00:00:00 UTC,3116322,10081703,2015,78705
20165038583,"103 LAUREL LN Austin, TX 78705",5,2016-10-20 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,103 LAUREL LN,Theft,2016-09-17 00:00:00 UTC,3115945,10080940,2016,78705
20155046938,"103 W 33RD ST Austin, TX 78705",5,2015-10-26 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,103 W 33RD ST,Theft,2015-10-23 00:00:00 UTC,3116238,10081542,2015,78705
2015770043,"103 W 35TH ST Austin, TX 78705",5,2015-03-28 00:00:00 UTC,Cleared by Arrest,9,AGG ASLT ENHANC STRANGL/SUFFOC,B,103 W 35TH ST,Aggravated Assault,2015-03-18 00:00:00 UTC,3116657,10082206,2015,78705
20163310803,"103 W 35TH ST Austin, TX 78705",5,2016-12-01 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF RESIDENCE         ,B,103 W 35TH ST,Burglary,2016-11-26 00:00:00 UTC,3116656,10082206,2016,78705
20168001797,"104 E 31ST ST Austin, TX 78705",5,2016-04-26 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,104 E 31ST ST,Theft,2016-04-14 00:00:00 UTC,3116058,10080662,2016,78705
20165037838,"104 LAUREL LN Austin, TX 78705",5,2016-10-11 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,104 LAUREL LN,Theft,2016-09-13 00:00:00 UTC,3115969,10081113,2016,78705
20163020184,"104 W 35TH ST Austin, TX 78705",5,2016-11-01 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,104 W 35TH ST,Theft,2016-10-28 00:00:00 UTC,3116659,10082271,2016,78705
